Install_Dates,source_type,Country,installs
2020-03-27,Paid,SE,2.0
2020-03-23,Organic,CA,24.0
2020-03-21,Paid,MN,1.0
2020-05-18,Paid,FI,25.0
2020-05-12,Paid,BD,53.0
2020-03-30,Paid,RS,7.0
2020-03-19,Paid,MD,12.0
2020-04-28,Paid,BY,1.0
2020-04-09,Organic,EE,1.0
2020-04-16,Paid,TW,12.0
2020-04-15,Organic,EC,4.0
2020-04-30,Paid,KG,7.0
2020-04-15,Paid,TW,46.0
2020-04-16,Paid,GE,125.0
2020-04-10,Paid,CH,13.0
2020-05-14,Paid,QA,1.0
2020-05-13,Organic,LY,5.0
2020-05-14,Organic,UY,1.0
2020-05-05,Paid,DK,1.0
2020-04-28,Organic,DZ,15.0
2020-04-10,Paid,AT,1.0
2020-04-30,Paid,AU,12.0
2020-05-01,Organic,PA,2.0
2020-04-02,Organic,KZ,51.0
2020-04-30,Organic,SE,10.0
2020-05-04,Paid,DK,2.0
2020-04-17,Paid,DE,1.0
2020-05-05,Organic,MG,1.0
2020-05-16,Organic,BF,1.0
2020-05-11,Organic,MA,5.0
2020-04-30,Paid,UA,61.0
2020-04-13,Paid,AT,9.0
2020-04-04,Paid,NZ,2.0
2020-03-18,Organic,BA,16.0
2020-05-15,Paid,CD,2.0
2020-03-18,Paid,DE,78.0
2020-04-11,Organic,SD,5.0
2020-03-24,Organic,BG,11.0
2020-05-15,Paid,SE,3.0
2020-05-15,Organic,UA,379.0
2020-03-18,Organic,NZ,10.0
2020-03-19,Paid,YE,1.0
2020-05-13,Paid,KR,26.0
2020-03-22,Organic,ZA,9.0
2020-04-27,Organic,PY,5.0
2020-05-11,Organic,AZ,19.0
2020-04-04,Organic,DE,137.0
2020-04-23,Paid,NL,37.0
2020-04-06,Paid,UA,19.0
2020-05-18,Organic,MY,15.0
2020-05-12,Paid,KR,5.0
2020-03-20,Organic,YE,12.0
2020-05-17,Organic,VE,7.0
2020-03-25,Paid,UZ,5.0
2020-05-04,Paid,CZ,3.0
2020-03-21,Organic,BY,78.0
2020-03-26,Organic,MX,34.0
2020-04-06,Organic,SZ,1.0
2020-03-28,Paid,SK,10.0
2020-05-17,Paid,MU,2.0
2020-03-21,Paid,ES,28.0
2020-04-15,Paid,IN,8.0
2020-03-23,Paid,MX,1.0
2020-03-26,Organic,LV,3.0
2020-05-14,Paid,BR,5.0
2020-04-19,Organic,RU,1946.0
2020-04-17,Organic,IN,484.0
2020-04-29,Paid,TW,5.0
2020-04-12,Organic,FI,10.0
2020-04-29,Organic,RS,6.0
2020-03-20,Organic,XK,1.0
2020-04-09,Paid,PR,1.0
2020-03-25,Organic,TN,3.0
2020-05-10,Paid,UK,45.0
2020-03-19,Organic,TH,166.0
2020-04-30,Paid,CH,2.0
2020-04-13,Paid,UA,1.0
2020-03-18,Organic,CO,34.0
2020-05-06,Paid,MK,1.0
2020-04-05,Paid,HR,131.0
2020-05-12,Paid,MM,18.0
2020-04-25,Organic,IQ,79.0
2020-05-15,Paid,BJ,4.0
2020-04-25,Paid,SO,3.0
2020-03-26,Paid,PF,1.0
2020-04-21,Paid,GT,5.0
2020-05-16,Organic,CH,8.0
2020-05-10,Organic,CN,99.0
2020-04-12,Paid,PL,252.0
2020-03-27,Paid,AO,1.0
2020-04-07,Organic,ES,22.0
2020-04-14,Paid,LY,1.0
2020-05-03,Paid,US,271.0
2020-05-14,Paid,NI,14.0
2020-05-04,Paid,RU,1242.0
2020-04-28,Organic,ET,2.0
2020-05-14,Organic,TW,7.0
2020-04-23,Paid,PK,70.0
2020-03-26,Paid,FI,3.0
2020-03-18,Organic,IQ,151.0
2020-04-30,Organic,CI,1.0
2020-04-11,Paid,BJ,1.0
2020-04-08,Paid,MK,1.0
2020-04-25,Organic,CO,5.0
2020-04-04,Organic,CN,233.0
2020-04-10,Organic,CH,7.0
2020-04-07,Paid,US,172.0
2020-05-03,Organic,ES,16.0
2020-05-18,Paid,PL,319.0
2020-04-06,Paid,NO,18.0
2020-05-02,Paid,FI,3.0
2020-04-16,Organic,TW,13.0
2020-04-01,Organic,ET,1.0
2020-04-06,Paid,RU,662.0
2020-04-16,Paid,BR,271.0
2020-05-02,Organic,LV,22.0
2020-04-20,Paid,MX,2.0
2020-04-18,Paid,ES,67.0
2020-04-23,Paid,VN,141.0
2020-03-30,Organic,RS,16.0
2020-05-03,Paid,SV,5.0
2020-03-23,Paid,CA,12.0
2020-05-18,Organic,FI,7.0
2020-03-30,Paid,TW,14.0
2020-05-13,Organic,IN,125.0
2020-03-20,Organic,RU,3647.0
2020-04-24,Organic,TH,55.0
2020-04-04,Paid,UK,63.0
2020-04-30,Organic,TN,5.0
2020-04-30,Paid,NP,1.0
2020-03-26,Paid,AU,1.0
2020-05-12,Paid,KH,3.0
2020-03-23,Organic,JM,1.0
2020-05-15,Paid,DO,8.0
2020-04-29,Paid,QA,1.0
2020-03-24,Paid,CH,2.0
2020-04-17,Paid,KR,8.0
2020-04-24,Paid,YE,1.0
2020-05-09,Paid,EG,17.0
2020-04-25,Organic,NZ,3.0
2020-04-11,Organic,UA,385.0
2020-04-11,Paid,SE,7.0
2020-03-29,Organic,KE,2.0
2020-05-10,Organic,DE,107.0
2020-04-15,Organic,AZ,32.0
2020-03-28,Organic,PY,3.0
2020-04-21,Organic,ZA,5.0
2020-05-18,Organic,GG,1.0
2020-04-19,Organic,YE,2.0
2020-04-14,Paid,KR,41.0
2020-04-12,Organic,MY,22.0
2020-04-27,Paid,SK,2.0
2020-05-04,Paid,ID,1.0
2020-05-02,Organic,MX,28.0
2020-04-18,Organic,BY,155.0
2020-04-06,Paid,CZ,21.0
2020-04-30,Paid,UZ,4.0
2020-04-13,Organic,VE,3.0
2020-05-16,Paid,AT,3.0
2020-04-23,Organic,AE,2.0
2020-04-01,Organic,DZ,11.0
2020-05-08,Organic,KZ,24.0
2020-05-17,Paid,AT,13.0
2020-03-25,Paid,UA,284.0
2020-04-15,Organic,MA,11.0
2020-04-27,Paid,LB,35.0
2020-04-10,Organic,BF,1.0
2020-04-09,Organic,MG,1.0
2020-03-25,Organic,SE,7.0
2020-04-06,Paid,DK,3.0
2020-03-28,Paid,US,1.0
2020-04-30,Organic,BG,2.0
2020-05-15,Organic,SD,8.0
2020-04-25,Paid,DE,52.0
2020-04-25,Organic,BA,3.0
2020-05-11,Organic,EC,1.0
2020-05-05,Paid,CA,7.0
2020-05-14,Paid,TW,1.0
2020-05-05,Organic,EE,4.0
2020-04-08,Organic,TG,1.0
2020-04-16,Paid,QA,1.0
2020-05-14,Paid,GE,29.0
2020-05-11,Paid,TW,41.0
2020-04-23,Organic,CY,1.0
2020-03-23,Paid,BY,1.0
2020-04-17,Organic,LY,7.0
2020-03-18,Paid,CO,17.0
2020-04-20,Paid,RU,1231.0
2020-04-19,Paid,AG,1.0
2020-05-09,Paid,IQ,1.0
2020-05-02,Paid,UZ,605.0
2020-04-18,Paid,MN,1.0
2020-04-12,Paid,FI,17.0
2020-04-20,Organic,CA,27.0
2020-04-26,Organic,CG,2.0
2020-04-19,Paid,RU,9.0
2020-04-17,Paid,US,1.0
2020-04-01,Paid,BY,1.0
2020-04-24,Paid,MD,1.0
2020-04-10,Organic,LA,3.0
2020-03-28,Organic,SK,8.0
2020-04-03,Paid,DE,16.0
2020-03-26,Paid,MX,11.0
2020-03-21,Paid,BY,32.0
2020-04-09,Organic,BN,1.0
2020-03-25,Paid,FR,58.0
2020-05-16,Organic,GQ,1.0
2020-05-16,Paid,AU,1.0
2020-04-30,Organic,MN,6.0
2020-05-18,Paid,UA,309.0
2020-03-24,Paid,AT,6.0
2020-05-06,Organic,SL,1.0
2020-03-23,Paid,RO,1.0
2020-04-20,Paid,DK,10.0
2020-05-12,Paid,IT,189.0
2020-04-08,Paid,CL,9.0
2020-03-25,Paid,MX,36.0
2020-04-23,Organic,NL,13.0
2020-04-23,Paid,TR,15.0
2020-04-04,Paid,DE,48.0
2020-04-28,Organic,AM,25.0
2020-05-02,Paid,TT,1.0
2020-05-04,Organic,PH,57.0
2020-05-13,Organic,KR,12.0
2020-05-15,Paid,UA,315.0
2020-04-17,Organic,AL,2.0
2020-04-19,Paid,LR,1.0
2020-05-18,Organic,HN,5.0
2020-05-08,Paid,NL,3.0
2020-04-05,Paid,KZ,1.0
2020-04-29,Paid,LT,1.0
2020-04-19,Paid,PH,7.0
2020-04-28,Paid,KR,1.0
2020-05-17,Paid,IL,1.0
2020-05-04,Paid,FM,1.0
2020-04-30,Paid,SE,11.0
2020-04-12,Paid,SD,1.0
2020-04-20,Paid,TJ,1.0
2020-03-22,Paid,KZ,2.0
2020-04-30,Organic,AU,11.0
2020-04-10,Organic,AT,8.0
2020-04-04,Organic,AR,14.0
2020-05-05,Organic,DK,8.0
2020-05-06,Paid,US,50.0
2020-04-11,Paid,PL,91.0
2020-05-13,Paid,BE,15.0
2020-03-26,Organic,KG,5.0
2020-05-05,Paid,NO,15.0
2020-05-14,Paid,EC,25.0
2020-05-03,Paid,US,61.0
2020-04-02,Paid,HR,1.0
2020-03-19,Organic,SY,20.0
2020-05-11,Organic,GE,21.0
2020-04-10,Organic,NG,4.0
2020-04-09,Organic,AF,5.0
2020-03-22,Organic,PE,4.0
2020-03-24,Paid,PL,1.0
2020-04-30,Organic,UZ,82.0
2020-05-07,Paid,UK,24.0
2020-04-11,Paid,CA,1.0
2020-03-19,Paid,VN,3.0
2020-04-28,Organic,BE,10.0
